City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
636,Macapa,BR,89.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
640,Ambanja,MG,84.13,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
645,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
647,Thika,KE,80.71,overcast clouds,-1.0333,37.0693,Monalisa Hotel Thika
660,Balud,PH,78.76,overcast clouds,10.1476,123.6953,Pulchra Resort
663,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
671,Sinnamary,GF,79.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
676,Fomboni,KM,80.42,moderate rain,-12.28,43.7425,Auberge les abou
678,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
686,Senador Jose Porfirio,BR,80.4,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
